Axis,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
24.0,568.0,568.0,568.0,568.0,568.0,568,568.0,571.0,571,571.0,571.0,572.0,571.0,571.0,568.0,571.0,568.0,568.0,568,568,568,568.0,568.0,565.0,565,565.0,568.0,565.0,568.0,568,571,569,570,572,572,572,572,571,571
25.0,568.0,568.0,568.0,568.0,568.0,568,568.0,571.0,571,571.0,571.0,571.0,571.0,572.0,568.0,571.0,565.0,568.0,568,568,568,568.0,568.0,565.0,565,565.0,568.0,565.0,568.0,568,571,570,570,573,572,572,572,572,572
26.0,568.0,568.0,568.0,568.0,568.0,568,568.0,572.0,571,571.0,572.0,571.0,572.0,571.0,568.0,571.0,565.0,568.0,569,568,568,568.0,568.0,565.0,565,568.0,568.0,568.0,568.0,568,571,570,570,573,572,572,573,572,572
27.0,568.0,568.0,568.0,568.0,568.0,568,571.0,572.0,571,572.0,571.0,571.0,571.0,571.0,568.0,571.0,565.0,568.0,571,568,568,568.0,568.0,568.0,565,568.0,568.0,568.0,568.0,571,571,570,570,573,572,573,573,573,572
28.0,571.0,571.0,571.0,571.0,571.0,571,571.0,571.0,571,572.0,571.0,571.0,571.0,571.0,568.0,571.0,565.0,568.0,571,568,568,568.0,568.0,568.0,565,568.0,568.0,568.0,568.0,571,571,570,570,572,572,573,573,573,572
29.0,571.0,571.0,571.0,571.0,571.0,571,571.0,571.0,571,572.0,571.0,571.0,571.0,571.0,568.0,571.0,565.0,569.0,571,568,569,568.0,568.0,568.0,565,568.0,568.0,568.0,568.0,571,572,570,570,572,573,573,573,573,573
30.0,571.0,571.0,571.0,571.0,571.0,571,571.0,572.0,571,574.0,571.0,571.0,571.0,571.0,568.0,572.0,565.0,571.0,571,568,571,571.0,568.0,568.0,568,568.0,568.0,568.0,568.0,571,571,570,570,572,573,573,573,573,573
31.0,571.0,571.0,571.0,571.0,571.0,571,571.0,572.0,571,574.0,571.0,571.0,571.0,571.0,568.0,571.0,565.0,571.0,571,568,571,571.0,568.0,568.0,568,568.0,571.0,568.0,571.0,571,571,570,571,573,573,573,574,573,573
32.0,571.0,571.0,571.0,571.0,571.0,571,572.0,572.0,571,574.0,571.0,574.0,571.0,571.0,568.0,571.0,565.0,572.0,571,568,571,571.0,568.0,568.0,568,568.0,568.0,568.0,571.0,571,572,571,571,573,573,573,574,573,573
33.0,571.0,571.0,571.0,571.0,571.0,571,572.0,574.0,571,575.0,574.0,574.0,571.0,571.0,571.0,571.0,571.0,572.0,571,568,571,571.0,568.0,568.0,568,568.0,568.0,568.0,571.0,571,572,573,571,573,573,574,574,574,574
34.0,571.0,571.0,571.0,571.0,571.0,571,572.0,575.0,571,574.0,574.0,575.0,571.0,571.0,571.0,571.0,571.0,571.0,571,571,571,571.0,568.0,568.0,568,568.0,568.0,568.0,571.0,572,572,574,571,573,573,574,575,574,574
35.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,571,574.0,575.0,574.0,571.0,574.0,571.0,571.0,571.0,571.0,571,571,571,571.0,568.0,568.0,568,571.0,568.0,569.0,571.0,572,572,574,572,574,574,574,576,574,574
36.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,572,574.0,575.0,572.0,571.0,574.0,571.0,571.0,571.0,571.0,571,572,571,571.0,571.0,569.0,569,571.0,568.0,571.0,571.0,572,574,574,574,574,574,574,576,575,575
37.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,575,575.0,575.0,571.0,571.0,574.0,571.0,571.0,571.0,571.0,571,571,571,571.0,571.0,568.0,568,571.0,568.0,571.0,571.0,574,574,573,574,574,575,574,576,575,575
38.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,575,575.0,575.0,571.0,571.0,574.0,571.0,571.0,571.0,571.0,571,572,572,571.0,571.0,571.0,571,571.0,568.0,571.0,572.0,574,574,573,573,574,575,574,576,575,575
39.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,575,575.0,575.0,571.0,571.0,574.0,571.0,571.0,571.0,571.0,571,571,572,571.0,571.0,571.0,571,571.0,568.0,571.0,572.0,574,574,574,573,574,575,574,576,575,575
40.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,575,575.0,575.0,571.0,571.0,574.0,571.0,571.0,568.0,571.0,571,571,571,571.0,571.0,571.0,571,571.0,568.0,571.0,572.0,574,574,574,573,575,575,575,576,575,575
41.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,575,575.0,575.0,571.0,572.0,574.0,571.0,572.0,568.0,571.0,572,571,572,571.0,571.0,571.0,571,572.0,569.0,571.0,572.0,574,575,575,573,575,576,575,576,575,575
42.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,575,575.0,575.0,571.0,574.0,574.0,571.0,574.0,568.0,571.0,572,571,574,572.0,571.0,571.0,571,572.0,569.0,572.0,574.0,574,575,575,573,576,576,576,576,576,576
43.0,571.0,571.0,571.0,571.0,571.0,571,571.0,575.0,575,575.0,575.0,571.0,575.0,575.0,571.0,575.0,571.0,571.0,571,571,574,572.0,571.0,571.0,571,574.0,554.0,572.0,574.0,575,575,576,573,576,576,576,576,575,576
44.0,575.0,575.0,575.0,575.0,575.0,575,571.0,578.0,575,575.0,575.0,571.0,575.0,575.0,571.0,575.0,571.0,575.0,571,571,575,572.0,571.0,571.0,571,574.0,554.0,572.0,575.0,575,575,576,573,576,576,576,576,575,576
45.0,575.0,575.0,575.0,575.0,575.0,575,571.0,578.0,575,578.0,575.0,581.0,575.0,575.0,574.0,575.0,571.0,581.0,575,571,575,574.0,574.0,571.0,571,574.0,554.0,571.0,575.0,575,575,576,574,576,576,576,576,575,576
46.0,575.0,575.0,575.0,575.0,575.0,575,575.0,578.0,575,578.0,575.0,574.0,575.0,575.0,574.0,575.0,572.0,574.0,575,571,575,574.0,575.0,572.0,572,574.0,545.0,571.0,575.0,575,575,576,575,576,576,576,576,582,576
47.0,575.0,575.0,575.0,575.0,575.0,575,575.0,578.0,578,578.0,578.0,574.0,575.0,575.0,574.0,575.0,572.0,574.0,575,571,575,575.0,575.0,574.0,574,574.0,554.0,571.0,575.0,575,577,576,575,576,576,576,576,582,576
48.0,575.0,575.0,575.0,575.0,575.0,575,574.0,578.0,578,578.0,578.0,575.0,578.0,575.0,575.0,574.0,574.0,574.0,574,571,575,574.0,575.0,574.0,574,575.0,554.0,575.0,574.0,578,578,576,575,576,576,576,576,576,576
49.0,575.0,575.0,575.0,575.0,575.0,575,574.0,578.0,578,578.0,578.0,575.0,577.0,575.0,575.0,575.0,574.0,574.0,573,571,575,574.0,575.0,574.0,574,575.0,554.0,575.0,575.0,578,578,576,575,576,576,576,576,576,576
50.0,575.0,575.0,575.0,575.0,575.0,575,575.0,578.0,578,578.0,578.0,575.0,578.0,578.0,575.0,575.0,574.0,574.0,574,571,575,575.0,575.0,574.0,574,575.0,556.0,575.0,575.0,578,578,576,575,579,576,576,576,576,576
51.0,575.0,575.0,575.0,575.0,575.0,575,575.0,578.0,578,578.0,578.0,578.0,578.0,578.0,575.0,575.0,574.0,574.0,574,571,575,575.0,575.0,575.0,574,575.0,571.0,574.0,575.0,578,578,576,575,579,576,576,576,576,576
52.0,578.0,578.0,578.0,578.0,578.0,578,575.0,578.0,578,578.0,578.0,577.0,578.0,578.0,575.0,575.0,575.0,575.0,575,572,575,575.0,575.0,575.0,575,575.0,572.0,574.0,575.0,578,578,576,583,579,579,576,579,576,576
53.0,578.0,578.0,578.0,578.0,578.0,578,575.0,578.0,578,578.0,578.0,576.0,578.0,578.0,575.0,575.0,574.0,575.0,575,572,575,575.0,575.0,575.0,575,575.0,573.0,574.0,577.0,578,578,576,584,580,580,576,580,576,576
54.0,578.0,578.0,578.0,578.0,578.0,578,575.0,578.0,578,578.0,578.0,578.0,578.0,578.0,578.0,578.0,575.0,575.0,575,578,578,575.0,575.0,575.0,574,575.0,578.0,575.0,578.0,578,578,579,584,584,580,579,580,576,580
55.0,578.0,578.0,578.0,578.0,578.0,578,575.0,578.0,578,578.0,578.0,578.0,578.0,578.0,578.0,578.0,574.0,575.0,574,578,578,575.0,575.0,575.0,575,575.0,578.0,574.0,578.0,578,578,580,576,584,580,579,580,576,580
56.0,578.0,578.0,578.0,578.0,578.0,578,575.0,578.0,577,578.0,578.0,578.0,578.0,578.0,578.0,578.0,574.0,575.0,574,578,578,575.0,575.0,575.0,575,575.0,578.0,574.0,578.0,578,578,580,576,580,581,579,579,576,580
57.0,578.0,578.0,578.0,578.0,578.0,578,575.0,578.0,581,578.0,578.0,578.0,578.0,578.0,578.0,578.0,574.0,578.0,574,578,578,575.0,575.0,575.0,575,575.0,578.0,574.0,578.0,578,578,580,576,580,581,579,580,576,580
58.0,578.0,578.0,578.0,578.0,578.0,578,575.0,578.0,581,578.0,578.0,578.0,578.0,578.0,578.0,578.0,584.0,578.0,574,575,578,578.0,578.0,575.0,575,578.0,578.0,575.0,578.0,578,578,579,576,580,581,579,580,576,580
59.0,578.0,578.0,578.0,578.0,578.0,578,578.0,578.0,577,578.0,578.0,577.0,578.0,581.0,578.0,578.0,574.0,578.0,574,575,578,578.0,578.0,575.0,575,578.0,578.0,575.0,578.0,578,578,579,576,581,581,579,580,580,580
60.0,578.0,578.0,578.0,578.0,578.0,578,578.0,580.0,577,578.0,578.0,578.0,581.0,581.0,578.0,578.0,575.0,578.0,578,575,578,578.0,578.0,575.0,575,578.0,578.0,575.0,578.0,578,581,580,581,581,581,580,581,580,581
61.0,578.0,578.0,578.0,578.0,578.0,578,578.0,581.0,577,578.0,578.0,578.0,581.0,581.0,578.0,578.0,575.0,578.0,578,575,578,578.0,578.0,578.0,575,578.0,578.0,575.0,578.0,578,581,580,581,581,582,581,581,581,581
62.0,578.0,578.0,578.0,578.0,578.0,578,578.0,581.0,577,578.0,578.0,578.0,581.0,581.0,578.0,578.0,575.0,578.0,574,575,578,578.0,578.0,578.0,575,578.0,578.0,575.0,578.0,581,581,580,581,582,582,581,581,582,581
63.0,578.0,578.0,578.0,578.0,578.0,578,578.0,581.0,578,581.0,581.0,578.0,581.0,581.0,578.0,578.0,575.0,578.0,578,575,578,578.0,578.0,578.0,575,578.0,578.0,578.0,578.0,581,581,581,580,582,582,582,582,582,582
64.0,578.0,578.0,578.0,578.0,578.0,578,578.0,581.0,578,581.0,581.0,578.0,581.0,581.0,578.0,578.0,575.0,578.0,578,575,578,578.0,578.0,578.0,578,578.0,578.0,578.0,578.0,581,581,581,579,582,582,582,582,582,582
65.0,578.0,578.0,578.0,578.0,578.0,578,578.0,581.0,578,581.0,581.0,578.0,581.0,581.0,578.0,578.0,575.0,578.0,671,575,578,578.0,578.0,578.0,578,578.0,578.0,578.0,578.0,581,581,581,580,582,582,582,582,582,582
66.0,578.0,578.0,578.0,578.0,578.0,578,578.0,581.0,581,581.0,581.0,578.0,581.0,581.0,578.0,578.0,575.0,578.0,578,575,578,578.0,578.0,578.0,581,579.0,578.0,578.0,578.0,581,581,580,583,583,582,582,582,582,582
67.0,578.0,578.0,578.0,578.0,578.0,578,581.0,581.0,582,581.0,581.0,581.0,581.0,581.0,581.0,578.0,578.0,578.0,578,578,578,578.0,578.0,578.0,577,581.0,578.0,577.0,587.0,581,581,580,589,583,582,582,582,582,582
68.0,581.0,581.0,581.0,581.0,581.0,578,581.0,584.0,584,581.0,581.0,581.0,581.0,581.0,581.0,578.0,578.0,581.0,578,578,578,578.0,578.0,578.0,578,581.0,578.0,578.0,587.0,581,581,580,589,583,582,582,582,582,582
69.0,581.0,581.0,581.0,581.0,581.0,578,581.0,584.0,584,581.0,581.0,581.0,581.0,581.0,581.0,578.0,578.0,581.0,578,578,578,578.0,578.0,578.0,577,581.0,581.0,578.0,587.0,581,581,581,589,583,583,582,582,582,582
70.0,581.0,581.0,581.0,581.0,581.0,581,581.0,584.0,584,581.0,581.0,581.0,584.0,581.0,581.0,581.0,578.0,581.0,578,578,578,578.0,581.0,578.0,578,581.0,65.0,578.0,581.0,581,581,581,583,583,583,583,583,583,583
71.0,581.0,581.0,581.0,581.0,581.0,581,581.0,584.0,584,581.0,581.0,581.0,584.0,581.0,581.0,581.0,578.0,581.0,581,578,578,578.0,581.0,578.0,581,581.0,62.0,578.0,581.0,581,584,583,583,583,583,583,583,583,583
72.0,581.0,581.0,581.0,581.0,581.0,581,581.0,584.0,584,581.0,584.0,581.0,584.0,581.0,581.0,581.0,578.0,581.0,581,578,578,578.0,581.0,578.0,581,581.0,62.0,578.0,581.0,584,584,583,583,583,583,583,583,583,583
